gene_id	symbol	seq_len	seqname	strand	num_A	num_C	num_G	num_T	num_N	pct_at	pct_gc	num_CG_dinuc	exon_count
ENSG00000006128.11	TAC1	1888	chr7	+	520	411	473	484	0	0.531779661016949	0.468220338983051	75	7
ENSG00000006194.9	ZNF263	6945	chr16	+	1770	1708	1747	1720	0	0.502519798416127	0.497480201583873	172	8
ENSG00000006210.6	CX3CL1	5983	chr16	+	1304	1731	1597	1351	0	0.443757312385091	0.556242687614909	116	3
ENSG00000006282.20	SPATA20	5337	chr17	+	978	1729	1562	1068	0	0.38336143901068	0.61663856098932	189	11
ENSG00000006283.17	CACNA1G	9709	chr17	+	2020	2908	2788	1993	0	0.413327840148316	0.586672159851684	405	39
ENSG00000006327.13	TNFRSF12A	1848	chr16	+	322	565	620	341	0	0.358766233766234	0.641233766233766	110	4
ENSG00000006377.10	DLX6	3449	chr7	+	784	1021	855	789	0	0.456074224412873	0.543925775587127	159	3
ENSG00000006432.15	MAP3K9	12386	chr14	-	2780	3228	3221	3157	0	0.479331503310189	0.520668496689811	296	16
ENSG00000006451.7	RALA	3665	chr7	+	960	800	839	1066	0	0.552796725784447	0.447203274215553	100	8
ENSG00000006453.13	BAIAP2L1	4798	chr7	-	1198	1279	1199	1122	0	0.483534806169237	0.516465193830763	168	16
ENSG00000006459.10	KDM7A	9430	chr7	-	2823	1707	1943	2957	0	0.612937433722163	0.387062566277837	114	21
ENSG00000006468.13	ETV1	9616	chr7	-	2909	1847	1883	2977	0	0.612104825291181	0.387895174708819	127	24
ENSG00000006530.15	AGK	6547	chr7	+	1918	1297	1388	1944	0	0.589888498548954	0.410111501451046	88	20
ENSG00000006534.15	ALDH3B1	6626	chr11	+	1370	2033	1852	1371	0	0.413673407787504	0.586326592212496	193	12
ENSG00000006555.10	TTC22	6055	chr1	-	1309	1810	1625	1311	0	0.432700247729149	0.56729975227085	220	6
ENSG00000006576.16	PHTF2	8646	chr7	+	2590	1495	1578	2983	0	0.644575526254916	0.355424473745084	78	21
ENSG00000006606.8	CCL26	706	chr7	-	177	175	193	161	0	0.478753541076487	0.521246458923513	11	4
ENSG00000006607.13	FARP2	14413	chr2	+	3514	3493	3423	3983	0	0.520155415250121	0.479844584749879	270	35
ENSG00000006611.15	USH1C	4904	chr11	-	1106	1389	1358	1051	0	0.439845024469821	0.560154975530179	137	31
ENSG00000006625.17	GGCT	1597	chr7	-	487	295	369	446	0	0.58422041327489	0.41577958672511	31	5
ENSG00000006634.7	DBF4	4583	chr7	+	1510	832	946	1295	0	0.612044512328169	0.387955487671831	87	12
ENSG00000006638.11	TBXA2R	2793	chr19	-	413	952	794	634	0	0.374865735767991	0.625134264232009	160	4
ENSG00000006652.13	IFRD1	7489	chr7	+	2178	1409	1625	2277	0	0.594872479636801	0.405127520363199	118	19
ENSG00000006695.10	COX10	3172	chr17	+	769	848	717	838	0	0.506620428751576	0.493379571248424	73	7
ENSG00000006704.10	GTF2IRD1	6498	chr7	+	1487	1880	1900	1231	0	0.418282548476454	0.581717451523546	252	27
ENSG00000006712.14	PAF1	2668	chr19	-	638	711	791	528	0	0.437031484257871	0.562968515742129	93	11
ENSG00000006715.15	VPS41	7801	chr7	-	2318	1441	1682	2360	0	0.599666709396231	0.400333290603769	92	37
ENSG00000006740.16	ARHGAP44	9281	chr17	+	2186	2433	2465	2197	0	0.472255144919728	0.527744855080271	247	24
ENSG00000006744.18	ELAC2	6345	chr17	-	1398	1679	1779	1489	0	0.455003940110323	0.544996059889677	212	21
ENSG00000006747.14	SCIN	11623	chr7	+	3484	2360	2381	3398	0	0.592101866987869	0.407898133012131	166	23
ENSG00000006756.15	ARSD	7030	chrX	-	1797	1797	1812	1624	0	0.486628733997155	0.513371266002845	184	12
ENSG00000006757.11	PNPLA4	3441	chrX	-	945	720	748	1028	0	0.573379831444348	0.426620168555652	63	8
ENSG00000006788.12	MYH13	6349	chr17	-	1922	1470	1834	1123	0	0.479603087100331	0.520396912899669	190	42
ENSG00000006831.9	ADIPOR2	5878	chr12	+	1561	1198	1371	1748	0	0.562946580469547	0.437053419530453	78	12
ENSG00000006837.11	CDKL3	3057	chr5	-	1035	536	639	847	0	0.615636244684331	0.384363755315669	40	18
ENSG00000007001.12	UPP2	2957	chr2	+	858	606	625	868	0	0.58369969563747	0.41630030436253	35	11
ENSG00000007038.10	PRSS21	1967	chr16	+	390	581	603	393	0	0.398068124046772	0.601931875953228	95	6
ENSG00000007047.14	MARK4	6668	chr19	+	1509	1911	1937	1311	0	0.422915416916617	0.577084583083383	242	19
ENSG00000007062.11	PROM1	7434	chr4	-	1963	1642	1829	2000	0	0.533091202582728	0.466908797417272	156	43
ENSG00000007080.10	CCDC124	1660	chr19	+	385	502	526	247	0	0.380722891566265	0.619277108433735	96	6
ENSG00000007129.17	CEACAM21	1964	chr19	+	470	561	538	395	0	0.440427698574338	0.559572301425662	58	11
ENSG00000007168.12	PAFAH1B1	8127	chr17	+	2203	1630	1793	2501	0	0.578811369509044	0.421188630490956	154	17
ENSG00000007171.16	NOS2	4176	chr17	-	976	1216	1130	854	0	0.438218390804598	0.561781609195402	122	27
ENSG00000007174.17	DNAH9	16980	chr17	+	4443	4308	4365	3864	0	0.489222614840989	0.510777385159011	393	76
ENSG00000007202.14	KIAA0100	9235	chr17	-	2235	2272	2408	2320	0	0.493232268543584	0.506767731456416	173	36
ENSG00000007237.18	GAS7	10100	chr17	-	2321	2661	2627	2491	0	0.476435643564356	0.523564356435644	261	23
ENSG00000007255.10	TRAPPC6A	933	chr19	-	158	277	326	172	0	0.353697749196141	0.646302250803859	50	6
ENSG00000007264.14	MATK	4141	chr19	-	768	1306	1364	703	0	0.355228205747404	0.644771794252596	282	22
ENSG00000007306.14	CEACAM7	2649	chr19	-	756	622	580	691	0	0.546243865609664	0.453756134390336	33	7
ENSG00000007312.12	CD79B	2080	chr17	-	416	633	635	396	0	0.390384615384615	0.609615384615385	59	6
ENSG00000007314.11	SCN4A	8247	chr17	-	1705	2460	2292	1790	0	0.42379046926155	0.57620953073845	290	24
ENSG00000007341.18	ST7L	8111	chr1	-	2302	1808	1805	2196	0	0.554555541856738	0.445444458143262	137	23
ENSG00000007350.16	TKTL1	3650	chrX	+	911	850	986	903	0	0.496986301369863	0.503013698630137	106	14
ENSG00000007372.20	PAX6	14782	chr11	-	3724	3510	3606	3942	0	0.518603707211473	0.481396292788527	471	14
ENSG00000007376.7	RPUSD1	2769	chr16	-	455	924	910	480	0	0.337667027807873	0.662332972192127	152	5
ENSG00000007384.15	RHBDF1	4914	chr16	-	860	1585	1451	1018	0	0.382173382173382	0.617826617826618	234	15
ENSG00000007392.16	LUC7L	6176	chr16	-	1429	1368	1539	1840	0	0.529306994818653	0.470693005181347	197	10
ENSG00000007402.11	CACNA2D2	6322	chr3	-	1407	1950	1742	1223	0	0.416007592534008	0.583992407465992	253	40
ENSG00000007516.13	BAIAP3	6146	chr16	+	1076	2056	1962	1052	0	0.34624145785877	0.65375854214123	304	34
ENSG00000007520.3	TSR3	1243	chr16	-	213	376	458	196	0	0.329042638777152	0.670957361222848	96	6
ENSG00000007541.16	PIGQ	7904	chr16	+	1181	2616	2619	1488	0	0.337677125506073	0.662322874493927	367	13
ENSG00000007545.15	CRAMP1	8373	chr16	+	1738	2447	2363	1825	0	0.42553445598949	0.57446554401051	342	21
ENSG00000007866.18	TEAD3	3046	chr6	-	635	958	859	594	0	0.403479973736047	0.596520026263953	104	14
ENSG00000007908.15	SELE	4585	chr1	-	1334	942	993	1316	0	0.577971646673937	0.422028353326063	38	15
ENSG00000007923.15	DNAJC11	5083	chr1	-	1182	1338	1378	1185	0	0.465669879992131	0.534330120007869	168	19
ENSG00000007933.12	FMO3	3463	chr1	+	1008	716	778	961	0	0.568582154201559	0.431417845798441	43	11
ENSG00000007944.14	MYLIP	3033	chr6	+	795	655	754	829	0	0.535443455324761	0.464556544675239	72	7
ENSG00000007952.17	NOX1	2529	chrX	-	658	572	541	758	0	0.559905100830368	0.440094899169632	33	13
ENSG00000007968.6	E2F2	5457	chr1	-	1114	1564	1522	1257	0	0.434487813817116	0.565512186182884	148	7
ENSG00000008018.8	PSMB1	2256	chr6	-	607	463	494	692	0	0.575797872340426	0.424202127659574	47	6
ENSG00000008056.12	SYN1	3209	chrX	-	643	1156	823	587	0	0.38329697725148	0.61670302274852	165	13
ENSG00000008083.13	JARID2	6015	chr6	+	1575	1457	1607	1376	0	0.490606816292602	0.509393183707398	230	20
ENSG00000008086.11	CDKL5	17075	chrX	+	4745	3715	3576	5039	0	0.573001464128843	0.426998535871157	231	28
ENSG00000008118.9	CAMK1G	2676	chr1	+	628	779	656	613	0	0.463751868460389	0.536248131539611	45	13
ENSG00000008128.22	CDK11A	4701	chr1	-	1159	1212	1436	894	0	0.436715592427143	0.563284407572857	218	15
ENSG00000008130.15	NADK	5570	chr1	-	1101	1572	1721	1176	0	0.408797127468582	0.591202872531418	261	17
ENSG00000008196.12	TFAP2B	6149	chr6	+	1583	1549	1420	1597	0	0.517157261343308	0.482842738656692	226	8
ENSG00000008226.19	DLEC1	8338	chr3	+	1974	2334	2269	1761	0	0.447949148476853	0.552050851523147	194	34
ENSG00000008256.15	CYTH3	5808	chr7	-	1326	1539	1617	1326	0	0.456611570247934	0.543388429752066	227	16
ENSG00000008277.14	ADAM22	12199	chr7	+	3589	2313	2550	3747	0	0.601360767276006	0.398639232723994	166	36
ENSG00000008282.8	SYPL1	2804	chr7	-	701	596	621	886	0	0.565977175463623	0.434022824536377	78	8
ENSG00000008283.15	CYB561	5320	chr17	-	967	1527	1660	1166	0	0.40093984962406	0.59906015037594	219	13
ENSG00000008294.20	SPAG9	11963	chr17	-	3589	2293	2661	3420	0	0.58588982696648	0.41411017303352	166	39
ENSG00000008300.15	CELSR3;MIR4793	13895	chr3	-	2540	4427	4077	2851	0	0.387981288233177	0.612018711766823	645	31
ENSG00000008311.14	AASS	4591	chr7	-	1303	914	1017	1357	0	0.579394467436288	0.420605532563712	64	24
ENSG00000008323.15	PLEKHG6	4260	chr12	+	908	1255	1334	763	0	0.392253521126761	0.607746478873239	139	20
ENSG00000008324.10	SS18L2	1301	chr3	+	329	311	312	349	0	0.521137586471945	0.478862413528055	50	4
ENSG00000008382.15	MPND	2049	chr19	+	370	621	730	328	0	0.340653977550024	0.659346022449976	129	13
ENSG00000008394.12	MGST1	7440	chr12	+	2284	1394	1483	2279	0	0.613306451612903	0.386693548387097	86	17
ENSG00000008405.11	CRY1	5062	chr12	-	1317	1091	1082	1572	0	0.570723034373765	0.429276965626235	138	14
ENSG00000008438.4	PGLYRP1	720	chr19	-	141	258	191	130	0	0.376388888888889	0.623611111111111	35	3
ENSG00000008441.16	NFIX	6302	chr19	+	1237	2064	1770	1231	0	0.391621707394478	0.608378292605522	376	15
ENSG00000008513.14	ST3GAL1	8729	chr8	-	2100	2287	2280	2062	0	0.476801466376446	0.523198533623554	200	15
ENSG00000008516.16	MMP25	4126	chr16	+	687	1412	1285	742	0	0.346340281143965	0.653659718856035	242	11
ENSG00000008517.16	IL32	3209	chr16	+	621	951	919	718	0	0.417263945154254	0.582736054845746	75	4
ENSG00000008710.18	PKD1;MIR6511B1	18608	chr16	-	2955	6225	6018	3410	0	0.342057179707653	0.657942820292347	1174	39
ENSG00000008735.13	MAPK8IP2	5901	chr22	+	1027	1972	1774	1128	0	0.365192340281308	0.634807659718692	366	12
ENSG00000008838.18	MED24;MIR6884	6962	chr17	-	1375	2085	1909	1593	0	0.426314277506464	0.573685722493536	224	28
ENSG00000008853.16	RHOBTB2	6580	chr8	+	1415	1912	1974	1279	0	0.409422492401216	0.590577507598784	246	16
ENSG00000008869.11	HEATR5B	8206	chr2	-	2308	1634	1756	2508	0	0.586887643187911	0.413112356812089	134	37
ENSG00000008952.16	SEC62	7928	chr3	+	2474	1397	1553	2504	0	0.627901109989909	0.372098890010091	76	11
ENSG00000008988.9	RPS20	3002	chr8	-	776	622	689	915	0	0.563291139240506	0.436708860759494	97	3
ENSG00000009307.15	CSDE1	5778	chr1	-	1720	1100	1242	1716	0	0.594669435790931	0.405330564209069	89	25
ENSG00000009335.17	UBE3C	9220	chr7	+	2309	1980	2230	2701	0	0.543383947939262	0.456616052060738	208	24
ENSG00000009413.15	REV3L	12425	chr6	-	4083	2424	2446	3472	0	0.608048289738431	0.391951710261569	174	37
ENSG00000009694.13	TENM1	12896	chrX	-	3862	2676	2766	3592	0	0.578008684863524	0.421991315136476	194	32
ENSG00000009724.16	MASP2	4251	chr1	-	942	1228	1131	950	0	0.445071747824041	0.554928252175959	117	10
ENSG00000009765.14	IYD	10362	chr6	+	3027	2164	2325	2846	0	0.566782474425787	0.433217525574213	111	7
ENSG00000009780.15	FAM76A	4034	chr1	+	1143	805	862	1224	0	0.586762518591968	0.413237481408032	52	11
ENSG00000009790.14	TRAF3IP3	7750	chr1	+	2326	1755	1717	1952	0	0.552	0.448	58	15
ENSG00000009830.11	POMT2	10008	chr14	-	2183	2685	2604	2536	0	0.47152278177458	0.52847721822542	208	26
ENSG00000009844.15	VTA1	7262	chr6	+	2327	1264	1496	2175	0	0.61993941063068	0.38006058936932	82	8
